filename,relative_path,class,source_image,source_image_id,annotation_id,category_id,bbox_x,bbox_y,bbox_width,bbox_height,source_width,source_height
objects365_v1_00009251_object-0012751.jpg,images/Cabinet-shelf/objects365_v1_00009251_object-0012751.jpg,Cabinet/shelf,objects365_v1_00009251.jpg,9251,12751,13,256.157775872,15.825134276999998,227.44549560320002,600.2426147196,512,641
objects365_v1_00009251_object-0012752.jpg,images/Cabinet-shelf/objects365_v1_00009251_object-0012752.jpg,Cabinet/shelf,objects365_v1_00009251.jpg,9251,12752,13,29.1581421056,13.3652954309,156.2887572992,603.0314330983,512,641
objects365_v1_00009251_object-0012753.jpg,images/Power-outlet/objects365_v1_00009251_object-0012753.jpg,Power outlet,objects365_v1_00009251.jpg,9251,12753,81,464.2212524544,327.5531616443,17.073242163200007,25.588745063099964,512,641
objects365_v1_00009251_object-0012754.jpg,images/Storage-box/objects365_v1_00009251_object-0012754.jpg,Storage box,objects365_v1_00009251.jpg,9251,12754,21,301.4609375232,111.119018523,29.5254516224,42.74163821479999,512,641
objects365_v1_00009251_object-0012755.jpg,images/Storage-box/objects365_v1_00009251_object-0012755.jpg,Storage box,objects365_v1_00009251.jpg,9251,12755,21,337.7351074304,118.14886475380001,32.33740231680002,40.2109375238,512,641
objects365_v1_00009251_object-0012756.jpg,images/Barrel-bucket/objects365_v1_00009251_object-0012756.jpg,Barrel/bucket,objects365_v1_00009251.jpg,9251,12756,49,307.6898803712,358.6649780193,41.8043823104,53.280090313699986,512,641
objects365_v1_00009251_object-0012757.jpg,images/Mop/objects365_v1_00009251_object-0012757.jpg,Mop,objects365_v1_00009251.jpg,9251,12757,336,312.6080322048,484.89770504669997,23.771118182400016,45.083129936000034,512,641
objects365_v1_00009251_object-0012758.jpg,images/Mop/objects365_v1_00009251_object-0012758.jpg,Mop,objects365_v1_00009251.jpg,9251,12758,336,356.143920896,276.6956787173,33.380493158399986,232.5211181422,512,641
objects365_v1_00009251_object-0012759.jpg,images/Cleaning-Products/objects365_v1_00009251_object-0012759.jpg,Cleaning Products,objects365_v1_00009251.jpg,9251,12759,162,306.8701782016,185.709716827,30.32867435519995,76.23144529970003,512,641
objects365_v1_00009251_object-0012760.jpg,images/Cleaning-Products/objects365_v1_00009251_object-0012760.jpg,Cleaning Products,objects365_v1_00009251.jpg,9251,12760,162,363.5063476736,192.26727297579998,26.97253416960001,63.93603514860001,512,641
objects365_v1_00009251_object-0012761.jpg,images/Cleaning-Products/objects365_v1_00009251_object-0012761.jpg,Cleaning Products,objects365_v1_00009251.jpg,9251,12761,162,352.0026855424,208.77239992379998,15.48571776,49.111938456700045,512,641
objects365_v1_00009251_object-0012762.jpg,images/Bottle/objects365_v1_00009251_object-0012762.jpg,Bottle,objects365_v1_00009251.jpg,9251,12762,9,368.935974144,118.7411499076,24.593749964799997,42.52667232659999,512,641
objects365_v1_00009251_object-0012763.jpg,images/Bottle/objects365_v1_00009251_object-0012763.jpg,Bottle,objects365_v1_00009251.jpg,9251,12763,9,316.2224731648,218.44354248570002,23.601257318399973,42.04504396429999,512,641
objects365_v1_00031660_object-0121295.jpg,images/Pie/objects365_v1_00031660_object-0121295.jpg,Pie,objects365_v1_00031660.jpg,31660,121295,172,292.3897704795,322.6412353536,345.7288818585001,189.11407472640002,765,512
objects365_v1_00031660_object-0121296.jpg,images/Pie/objects365_v1_00031660_object-0121296.jpg,Pie,objects365_v1_00031660.jpg,31660,121296,172,537.003662121,227.8796386816,227.77648927199994,180.80645749759998,765,512
objects365_v1_00031660_object-0121297.jpg,images/Pie/objects365_v1_00031660_object-0121297.jpg,Pie,objects365_v1_00031660.jpg,31660,121297,172,670.157104482,167.2041015808,94.68823240799998,112.89068600320002,765,512
objects365_v1_00031660_object-0121298.jpg,images/Pie/objects365_v1_00031660_object-0121298.jpg,Pie,objects365_v1_00031660.jpg,31660,121298,172,517.427734401,89.1878662144,178.94262690900007,92.2384643584,765,512
objects365_v1_00031660_object-0121299.jpg,images/Pie/objects365_v1_00031660_object-0121299.jpg,Pie,objects365_v1_00031660.jpg,31660,121299,172,342.877441437,141.4563598848,222.16284177750003,127.28906250239999,765,512
objects365_v1_00031660_object-0121300.jpg,images/Pie/objects365_v1_00031660_object-0121300.jpg,Pie,objects365_v1_00031660.jpg,31660,121300,172,63.7901610975,211.1434326016,295.803100647,190.08654786559998,765,512
objects365_v1_00031660_object-0121301.jpg,images/Pie/objects365_v1_00031660_object-0121301.jpg,Pie,objects365_v1_00031660.jpg,31660,121301,172,1.78332516,114.575378432,223.6312256175,119.94769285120002,765,512
objects365_v1_00031660_object-0121302.jpg,images/Pie/objects365_v1_00031660_object-0121302.jpg,Pie,objects365_v1_00031660.jpg,31660,121302,172,230.4970703235,67.8161620992,187.03698725700002,92.50201415679999,765,512
objects365_v1_00031660_object-0121303.jpg,images/Pie/objects365_v1_00031660_object-0121303.jpg,Pie,objects365_v1_00031660.jpg,31660,121303,172,400.2535400535,39.3540039168,151.459228494,71.15539548160001,765,512
objects365_v1_00031660_object-0121304.jpg,images/Pie/objects365_v1_00031660_object-0121304.jpg,Pie,objects365_v1_00031660.jpg,31660,121304,172,289.92639160799996,-0.367156992,145.12133790450002,54.4205627392,765,512
objects365_v1_00031660_object-0121305.jpg,images/Pie/objects365_v1_00031660_object-0121305.jpg,Pie,objects365_v1_00031660.jpg,31660,121305,172,147.396362301,14.0874023424,159.633544959,68.9326782464,765,512
objects365_v1_00031660_object-0121306.jpg,images/Pie/objects365_v1_00031660_object-0121306.jpg,Pie,objects365_v1_00031660.jpg,31660,121306,172,54.622314423000006,0.1142578176,138.383667036,24.338989260800002,765,512
objects365_v1_00031660_object-0121307.jpg,images/Pie/objects365_v1_00031660_object-0121307.jpg,Pie,objects365_v1_00031660.jpg,31660,121307,172,0.1791991845,42.5288086016,126.41076663300001,83.31433103360001,765,512
objects365_v1_00031660_object-0121308.jpg,images/Pie/objects365_v1_00031660_object-0121308.jpg,Pie,objects365_v1_00031660.jpg,31660,121308,172,0.05480957250000001,0.0024414208,39.852905265,37.6978149376,765,512
objects365_v1_00009565_object-0123750.jpg,images/Storage-box/objects365_v1_00009565_object-0123750.jpg,Storage box,objects365_v1_00009565.jpg,9565,123750,21,231.14196775770003,408.5166015488,141.13659671429994,103.58886722560004,683,512
objects365_v1_00009565_object-0123751.jpg,images/Storage-box/objects365_v1_00009565_object-0123751.jpg,Storage box,objects365_v1_00009565.jpg,9565,123751,21,118.8305053832,140.529296896,41.052185040599994,28.77880857599999,683,512
