folder,class,image_id,download_url,original_url,license,author,title
apple,Apple,3eabeff9361b226f,https://c8.staticflickr.com/6/5124/5312793384_4361e9f195_z.jpg,https://c8.staticflickr.com/6/5124/5312793384_cedca3de3d_o.jpg,https://creativecommons.org/licenses/by/2.0/,Bruce Guenter,Colourful fruit platter
apple,Apple,40bf94904489c923,https://c1.staticflickr.com/1/51/129235076_3ab1db3009_z.jpg?zz=1,https://farm4.staticflickr.com/51/129235076_3ab1db3009_o.jpg,https://creativecommons.org/licenses/by/2.0/,Pierre Tourigny,Granny Smiths
backpack,Backpack,56a7cff15cdb2009,https://c2.staticflickr.com/9/8386/8633406471_bcb452155d_z.jpg,https://c2.staticflickr.com/9/8386/8633406471_e2a5ab7de8_o.jpg,https://creativecommons.org/licenses/by/2.0/,Simon,DSC07769
banana,Banana,b86de5be0f0a0d21,https://c4.staticflickr.com/4/3296/2720984817_50f604a565_z.jpg?zz=1,https://farm2.staticflickr.com/3296/2720984817_bd9be3d349_o.jpg,https://creativecommons.org/licenses/by/2.0/,dailyfood,yellow zucchini
bed,Bed,15e9f230f8f0609f,https://c6.staticflickr.com/1/11/12113983_231227c9d2_z.jpg?zz=1,https://c8.staticflickr.com/1/11/12113983_231227c9d2_o.jpg,https://creativecommons.org/licenses/by/2.0/,Anthony Majanlahti,zanzariera
bicycle,Bicycle,0668a217b33e5a36,https://c2.staticflickr.com/4/3723/11484364375_4180af41fc_z.jpg,https://farm7.staticflickr.com/3723/11484364375_b6441d9601_o.jpg,https://creativecommons.org/licenses/by/2.0/,netspi,P1010055
bicycle,Bicycle,0792f8e4934b5cc0,https://c6.staticflickr.com/1/717/21376683791_d98acff014_z.jpg,https://farm1.staticflickr.com/717/21376683791_189a5c6e14_o.jpg,https://creativecommons.org/licenses/by/2.0/,John Hritz,Collapsible
bird,Bird,06a8bc021578138d,https://c5.staticflickr.com/8/7231/7313325342_ed6e726075_z.jpg,https://c6.staticflickr.com/8/7231/7313325342_e403c13be4_o.jpg,https://creativecommons.org/licenses/by/2.0/,david,moon gulls
bird,Bird,0702c6a98287861b,https://c6.staticflickr.com/4/3237/2478853646_c7227e03d4_z.jpg,https://c4.staticflickr.com/4/3237/2478853646_391a30840a_o.jpg,https://creativecommons.org/licenses/by/2.0/,Kiên Nguyễn Phan,Singing!
bird,Bird,0779be77edff200f,https://c8.staticflickr.com/1/43/87816607_ccc0345ebd_z.jpg,https://c8.staticflickr.com/1/43/87816607_4f2fc5714e_o.jpg,https://creativecommons.org/licenses/by/2.0/,belgianchocolate,profiel
book,Book,19aa0e0ad2fa06b6,https://c5.staticflickr.com/1/2/1625328_7af356f861_z.jpg?zz=1,https://farm7.staticflickr.com/2/1625328_7af356f861_o.jpg,https://creativecommons.org/licenses/by/2.0/,Joe Crawford,San Diego City College Learning Resources Center -- retrieve a book -- featuring kali
bottle,Bottle,09b27cac767ccc61,https://c3.staticflickr.com/5/4013/4481833705_2fa2609c02_z.jpg,https://farm2.staticflickr.com/4013/4481833705_9d8fb8a6f2_o.jpg,https://creativecommons.org/licenses/by/2.0/,Jon Seidman,DSCF8245
bottle,Bottle,0d24b635e58e9dc0,https://c8.staticflickr.com/5/4113/4990878899_066bf69212_z.jpg,https://farm1.staticflickr.com/4113/4990878899_b61bcf6690_o.jpg,https://creativecommons.org/licenses/by/2.0/,finchlake2000,DSC_0023
building,Building,013e4b54ccdf22aa,https://c7.staticflickr.com/4/3890/15195450719_3f11ed591c_z.jpg,https://c3.staticflickr.com/4/3890/15195450719_e1e75cb0a5_o.jpg,https://creativecommons.org/licenses/by/2.0/,Mark Braggins,Untitled
bus,Bus,282e0c8f8ef8ba8d,https://c3.staticflickr.com/6/5801/22034773230_dc8a5078e1_z.jpg,https://c6.staticflickr.com/6/5801/22034773230_c1e8d5600f_o.jpg,https://creativecommons.org/licenses/by/2.0/,Aubrey Morandarte,"Arriva Midlands 3500 on Route 116, Moor Street"
bus,Bus,28623b1ffc32d7d3,https://c1.staticflickr.com/3/2939/14060804425_cdcc5d24fc_z.jpg,https://farm4.staticflickr.com/2939/14060804425_c9c4c75b46_o.jpg,https://creativecommons.org/licenses/by/2.0/,zeevveez,Download
cake,Cake,09a786d569d8a554,https://c8.staticflickr.com/2/1351/562377150_93b46741e3_z.jpg?zz=1,https://farm5.staticflickr.com/1351/562377150_1bcd244534_o.jpg,https://creativecommons.org/licenses/by/2.0/,Mariela M.,death by chocolate
car,Car,005ea49186b013d8,https://c1.staticflickr.com/4/3829/9057859369_5a432fdfe1_z.jpg,https://c1.staticflickr.com/4/3829/9057859369_681893e96c_o.jpg,https://creativecommons.org/licenses/by/2.0/,possan,_MG_3227
car,Car,00723dac8201a83e,https://c2.staticflickr.com/1/150/432591931_4789d0f0f1_z.jpg,https://c7.staticflickr.com/1/150/432591931_9f9e85a542_o.jpg,https://creativecommons.org/licenses/by/2.0/,Cirofono,Día 023: ¿De 91 o 95?
cat,Cat,05798ca4c1946ae1,https://c2.staticflickr.com/9/8194/8150639124_646de9b478_z.jpg,https://farm2.staticflickr.com/8194/8150639124_72f53d46a2_o.jpg,https://creativecommons.org/licenses/by/2.0/,Max Moreau,A Life of Pain and Privation
couch,Couch,2830555fb925b7cd,https://c8.staticflickr.com/8/7268/7677087262_0cdb36b3f2_z.jpg,https://c6.staticflickr.com/8/7268/7677087262_c6df5d8a67_o.jpg,https://creativecommons.org/licenses/by/2.0/,Erich Ferdinand,cozy little corner
dog,Dog,00ecc67a6c3a048c,https://c3.staticflickr.com/6/5308/5652496789_70e6f301e9_z.jpg,https://c5.staticflickr.com/6/5308/5652496789_bd43c58503_o.jpg,https://creativecommons.org/licenses/by/2.0/,dave.see,Dog Park
dog,Dog,00f5e32f28fc420e,https://c2.staticflickr.com/1/81/241832541_43848dabf3_z.jpg?zz=1,https://c7.staticflickr.com/1/81/241832541_43848dabf3_o.jpg,https://creativecommons.org/licenses/by/2.0/,LEONARDO DASILVA,IMG_4855
house,House,0433fe487a1775f1,https://c4.staticflickr.com/4/3239/3087757383_654452758d_z.jpg,https://farm2.staticflickr.com/3239/3087757383_8bb2cd52c2_o.jpg,https://creativecommons.org/licenses/by/2.0/,Bart Everson,Occupied
ice_cream,Ice cream,0f01d7e395fa2f81,https://c1.staticflickr.com/3/2828/13386951773_27c227b2f3_z.jpg,https://farm2.staticflickr.com/2828/13386951773_aa2a2969a1_o.jpg,https://creativecommons.org/licenses/by/2.0/,"Kurman Communications, Inc.",Blob Photo by Stephen Hamilton
ice_cream,Ice cream,12430086b06e8aaa,https://c7.staticflickr.com/6/5088/5229531953_01739166c7_z.jpg,https://c3.staticflickr.com/6/5088/5229531953_6b73a24508_o.jpg,https://creativecommons.org/licenses/by/2.0/,stockicide,stock155
ice_cream,Ice cream,13819bc41fd1296f,https://c3.staticflickr.com/8/7383/9254043438_a87fb28308_z.jpg,https://c8.staticflickr.com/8/7383/9254043438_489e050fdc_o.jpg,https://creativecommons.org/licenses/by/2.0/,CCFoodTravel.com,.
laptop,Laptop,46afaf945caee54c,https://c3.staticflickr.com/3/2301/2294746810_afe1a7ae1b_z.jpg,https://c5.staticflickr.com/3/2301/2294746810_b41733325a_o.jpg,https://creativecommons.org/licenses/by/2.0/,Mirry,madre
motorcycle,Motorcycle,19ebf7a808dc6193,https://c1.staticflickr.com/5/4103/4989539966_200d92c5ed_z.jpg,https://farm4.staticflickr.com/4103/4989539966_c35206fd74_o.jpg,https://creativecommons.org/licenses/by/2.0/,Tran Trung Kien,QL170004
person,Person,00723dac8201a83e,https://c2.staticflickr.com/1/150/432591931_4789d0f0f1_z.jpg,https://c7.staticflickr.com/1/150/432591931_9f9e85a542_o.jpg,https://creativecommons.org/licenses/by/2.0/,Cirofono,Día 023: ¿De 91 o 95?
person,Person,0081f359f925712e,https://c6.staticflickr.com/6/5131/5404901861_8b14439f6a_z.jpg,https://c7.staticflickr.com/6/5131/5404901861_d17c69751a_o.jpg,https://creativecommons.org/licenses/by/2.0/,Craig Metrowich,Craig Metrowich JETSKI EXTREME HIGH
pizza,Pizza,1dcb5c5f7b87bd90,https://c2.staticflickr.com/5/4131/5029636588_cb8107a50c_z.jpg,https://farm1.staticflickr.com/4131/5029636588_908ab0fde3_o.jpg,https://creativecommons.org/licenses/by/2.0/,CeresB,Pesto and Capers
pizza,Pizza,2077c0619979f100,https://c3.staticflickr.com/9/8211/8291625820_f5aa0d8556_z.jpg,https://farm1.staticflickr.com/8211/8291625820_2137fc585a_o.jpg,https://creativecommons.org/licenses/by/2.0/,Jose A. Perez,#pictureoftheday #iphone #iphone4gs #puertorico #iphone4 #instagram #cameraplus #landscape #mypicture #photo #apple #iphonephoto #foto #nojofoto #sanjuan #iphoneography #photography #twip #instagood  #fotografia #paisaje #camera #foto #telefono #christmas
tree,Tree,007170add0cfe316,https://c1.staticflickr.com/7/6143/6019638941_3297d05f95_z.jpg,https://farm7.staticflickr.com/6143/6019638941_ef91b44f0c_o.jpg,https://creativecommons.org/licenses/by/2.0/,Peter Kaminski,Razor Sharp
